,ts_code,trade_date,Open,High,Low,Close,pre_close,change,pct_chg,Volume,amount
0,002035.SZ,20230419,7.0,7.13,6.92,7.05,7.03,0.02,0.2845,155358.24,109515.296
1,002035.SZ,20230418,7.1,7.35,7.0,7.03,7.1,-0.07,-0.9859,246826.8,176759.868
2,002035.SZ,20230417,6.95,7.18,6.9,7.1,6.86,0.24,3.4985,243850.08,172875.798
3,002035.SZ,20230414,6.9,6.97,6.79,6.86,6.92,-0.06,-0.8671,114707.5,78505.277
4,002035.SZ,20230413,6.9,6.95,6.77,6.92,6.88,0.04,0.5814,148690.41,102101.312
5,002035.SZ,20230412,6.84,7.05,6.83,6.88,6.88,0.0,0.0,157860.32,109318.015
6,002035.SZ,20230411,6.74,6.99,6.66,6.88,6.71,0.17,2.5335,137128.07,94284.094
7,002035.SZ,20230410,6.76,6.81,6.66,6.71,6.78,-0.07,-1.0324,153709.63,103480.277
8,002035.SZ,20230407,6.74,6.86,6.74,6.78,6.75,0.03,0.4444,127157.16,86383.431
9,002035.SZ,20230406,6.8,6.95,6.72,6.75,6.8,-0.05,-0.7353,162171.88,110356.193
10,002035.SZ,20230404,7.09,7.1,6.76,6.8,7.05,-0.25,-3.5461,280621.57,192700.37
11,002035.SZ,20230403,7.1,7.29,7.0,7.05,7.07,-0.02,-0.2829,216795.92,154455.933
12,002035.SZ,20230331,7.15,7.24,7.01,7.07,7.17,-0.1,-1.3947,184780.08,131363.451
13,002035.SZ,20230330,6.95,7.26,6.87,7.17,6.99,0.18,2.5751,192923.78,136565.532
14,002035.SZ,20230329,7.02,7.08,6.93,6.99,6.93,0.06,0.8658,99033.58,69251.345
15,002035.SZ,20230328,7.2,7.23,6.9,6.93,7.15,-0.22,-3.0769,191965.63,134275.407
16,002035.SZ,20230327,7.13,7.34,7.1,7.15,7.38,-0.23,-3.1165,298639.48,215123.89
17,002035.SZ,20230324,7.41,7.46,7.23,7.38,7.4,-0.02,-0.2703,173156.68,127168.703
18,002035.SZ,20230323,7.4,7.57,7.35,7.4,7.46,-0.06,-0.8043,210241.54,155896.523
19,002035.SZ,20230322,7.38,7.63,7.38,7.46,7.45,0.01,0.1342,294249.45,220495.908
20,002035.SZ,20230321,7.16,7.56,7.16,7.45,7.2,0.25,3.4722,294380.03,218102.85
21,002035.SZ,20230320,7.25,7.37,7.15,7.2,7.3,-0.1,-1.3699,246318.87,177907.767
22,002035.SZ,20230317,6.81,7.39,6.81,7.3,6.79,0.51,7.511,590714.69,425147.57
23,002035.SZ,20230316,6.63,6.98,6.55,6.79,6.69,0.1,1.4948,494253.68,336196.346
24,002035.SZ,20230315,6.44,6.76,6.43,6.69,6.41,0.28,4.3682,288112.35,191763.493
25,002035.SZ,20230314,6.59,6.59,6.35,6.41,6.63,-0.22,-3.3183,223072.87,143524.873
26,002035.SZ,20230313,6.38,6.71,6.36,6.63,6.37,0.26,4.0816,326789.17,215458.893
27,002035.SZ,20230310,6.49,6.57,6.36,6.37,6.55,-0.18,-2.7481,155032.15,99886.594
28,002035.SZ,20230309,6.56,6.67,6.47,6.55,6.56,-0.01,-0.1524,210498.53,138048.549
29,002035.SZ,20230308,6.58,6.63,6.48,6.56,6.57,-0.01,-0.1522,163975.22,107202.745
30,002035.SZ,20230307,6.71,6.8,6.53,6.57,6.74,-0.17,-2.5223,383196.9,255906.318
