,ts_code,trade_date,Open,High,Low,Close,pre_close,change,pct_chg,Volume,amount
0,600028.SH,20230419,6.3,6.4,6.26,6.28,6.33,-0.05,-0.7899,1384811.82,873658.643
1,600028.SH,20230418,6.33,6.35,6.22,6.33,6.35,-0.02,-0.315,1604743.9,1009293.06
2,600028.SH,20230417,6.08,6.37,6.05,6.35,6.1,0.25,4.0984,3160331.34,1984096.005
3,600028.SH,20230414,6.1,6.17,6.02,6.1,6.07,0.03,0.4942,1536360.72,936025.782
4,600028.SH,20230413,6.2,6.33,6.05,6.07,6.16,-0.09,-1.461,2977372.65,1836673.458
5,600028.SH,20230412,6.04,6.24,6.03,6.16,6.0,0.16,2.6667,2588502.11,1590793.498
6,600028.SH,20230411,5.86,6.01,5.83,6.0,5.89,0.11,1.8676,2536340.13,1510460.31
7,600028.SH,20230410,5.72,5.96,5.71,5.89,5.71,0.18,3.1524,2516584.64,1472575.904
8,600028.SH,20230407,5.81,5.81,5.65,5.71,5.81,-0.1,-1.7212,1865126.64,1064126.753
9,600028.SH,20230406,5.77,5.84,5.69,5.81,5.79,0.02,0.3454,1672913.03,965511.368
10,600028.SH,20230404,5.59,5.82,5.53,5.79,5.56,0.23,4.1367,2945180.73,1683825.206
11,600028.SH,20230403,5.7,5.77,5.52,5.56,5.62,-0.06,-1.0676,2351272.19,1325367.248
12,600028.SH,20230331,5.6,5.65,5.53,5.62,5.6,0.02,0.3571,1508415.2,844231.761
13,600028.SH,20230330,5.48,5.69,5.46,5.6,5.47,0.13,2.3766,2063652.99,1153906.251
14,600028.SH,20230329,5.6,5.6,5.44,5.47,5.56,-0.09,-1.6187,1882762.97,1033655.971
15,600028.SH,20230328,5.45,5.62,5.45,5.56,5.35,0.21,3.9252,3601091.35,1996352.423
16,600028.SH,20230327,5.35,5.42,5.21,5.35,5.52,-0.17,-3.0797,4328984.49,2301272.134
17,600028.SH,20230324,5.68,5.68,5.48,5.52,5.7,-0.18,-3.1579,2816560.8,1558075.097
18,600028.SH,20230323,5.63,5.71,5.6,5.7,5.64,0.06,1.0638,1456595.28,824920.244
19,600028.SH,20230322,5.58,5.7,5.55,5.64,5.57,0.07,1.2567,1816053.96,1021766.797
20,600028.SH,20230321,5.67,5.71,5.47,5.57,5.66,-0.09,-1.5901,2557397.94,1420217.826
21,600028.SH,20230320,5.68,5.93,5.61,5.66,5.68,-0.02,-0.3521,3852278.23,2217560.344
22,600028.SH,20230317,5.48,5.77,5.47,5.68,5.45,0.23,4.2202,3516338.75,1987706.142
23,600028.SH,20230316,5.47,5.54,5.42,5.45,5.53,-0.08,-1.4467,1932922.92,1057138.02
24,600028.SH,20230315,5.51,5.58,5.37,5.53,5.52,0.01,0.1812,2584170.51,1416526.912
25,600028.SH,20230314,5.5,5.61,5.45,5.52,5.53,-0.01,-0.1808,2813652.79,1554089.763
26,600028.SH,20230313,5.21,5.56,5.21,5.53,5.21,0.32,6.142,4025800.72,2184744.238
27,600028.SH,20230310,5.27,5.33,5.18,5.21,5.31,-0.1,-1.8832,2226982.42,1169450.928
28,600028.SH,20230309,5.31,5.45,5.29,5.31,5.31,0.0,0.0,2469225.68,1320743.581
29,600028.SH,20230308,5.18,5.34,5.11,5.31,5.26,0.05,0.9506,2948454.95,1551628.13
30,600028.SH,20230307,5.1,5.45,5.1,5.26,5.1,0.16,3.1373,5007991.74,2666890.068
