Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,0.94102000,0.94407000,0.93775000,0.93858000,70000,1.00000000,0.94302268,0.95344916,0.96638338,0.98090037,0.99669739,1.01358628,1.03143627,1.05015014,1.06965219,1.08988150,1.11078778,1.13232864,0.93415825,0.92394273,0.91157654,0.89808551,0.88385143,0.86912425,0.85408322,0.83886331,0.82356903,0.80828275,0.79306996,0.77798298
2020,10,13,0.94517000,0.94539000,0.93951000,0.94103000,44218,1.00261033,0.94548428,0.95593797,0.96890596,0.98346084,0.99929910,1.01623207,1.03412866,1.05289137,1.07244433,1.09272645,1.11368730,1.13528439,0.93659671,0.92635452,0.91395605,0.90042981,0.88615857,0.87139295,0.85631266,0.84105301,0.82571881,0.81039263,0.79514013,0.78001377
2020,10,12,0.94925000,0.94961000,0.94431000,0.94516000,2712,1.00438881,0.94963383,0.96013340,0.97315830,0.98777706,1.00368483,1.02069212,1.03866725,1.05751231,1.07715108,1.09752222,1.11857505,1.14026694,0.94070725,0.93042011,0.91796723,0.90438162,0.89004775,0.87521733,0.86007085,0.84474423,0.82934273,0.81394929,0.79862985,0.78343710
2020,10,11,0.94860000,0.94948000,0.94762000,0.94925000,50766,1.00432731,0.95374319,0.96428819,0.97736946,0.99205148,1.00802808,1.02510897,1.04316188,1.06208849,1.08181225,1.10227153,1.12341548,1.14520122,0.94477798,0.93444633,0.92193955,0.90829516,0.89389927,0.87900466,0.86379265,0.84839970,0.83293156,0.81747150,0.80208577,0.78682728
2020,10,9,0.94636000,0.95032000,0.94568000,0.94947000,52729,1.00023176,0.95396423,0.96451168,0.97759598,0.99228140,1.00826170,1.02534655,1.04340365,1.06233465,1.08206297,1.10252700,1.12367584,1.14546664,0.94499694,0.93466290,0.92215322,0.90850567,0.89410644,0.87920838,0.86399284,0.84859633,0.83312460,0.81766096,0.80227166,0.78700964
2020,10,8,0.94613000,0.94922000,0.94469000,0.94636000,63116,0.99672449,0.95083951,0.96135241,0.97439385,0.98903117,1.00495913,1.02198801,1.03998597,1.05885496,1.07851866,1.09891566,1.11999523,1.14171465,0.94190160,0.93160140,0.91913270,0.90552985,0.89117778,0.87632853,0.86116282,0.84581674,0.83039569,0.81498270,0.79964381,0.78443178
2020,10,7,0.94575000,0.94965000,0.94552000,0.94612000,76946,0.99974640,0.95059837,0.96110861,0.97414674,0.98878035,1.00470427,1.02172883,1.03972222,1.05858643,1.07824515,1.09863697,1.11971119,1.14142511,0.94166273,0.93136514,0.91889961,0.90530020,0.89095178,0.87610629,0.86094443,0.84560224,0.83018510,0.81477602,0.79944102,0.78423284
2020,10,6,0.95336000,0.95471000,0.94459000,0.94577000,53836,0.99963007,0.95024672,0.96075306,0.97378637,0.98841457,1.00433260,1.02135086,1.03933760,1.05819482,1.07784627,1.09823055,1.11929698,1.14100286,0.94131438,0.93102060,0.91855968,0.90496531,0.89062218,0.87578219,0.86062594,0.84528942,0.82987799,0.81447461,0.79914528,0.78394273
2020,10,5,0.95296000,0.95499000,0.95124000,0.95334000,1522,1.00800406,0.95785255,0.96844299,0.98158062,0.99632590,1.01237134,1.02952582,1.04765652,1.06666468,1.08647342,1.10702085,1.12825590,1.15013551,0.94884871,0.93847254,0.92591188,0.91220870,0.89775078,0.88279200,0.86751444,0.85205517,0.83652038,0.82099371,0.80554168,0.79021745
2020,10,4,0.95268000,0.95315000,0.95142000,0.95292000,92644,0.99955944,0.95743056,0.96801633,0.98114817,0.99588696,1.01192533,1.02907225,1.04719497,1.06619475,1.08599476,1.10653315,1.12775884,1.14962881,0.94843069,0.93805909,0.92550397,0.91180682,0.89735527,0.88240308,0.86713225,0.85167979,0.83615185,0.82063201,0.80518680,0.78986932
2020,10,2,0.95415000,0.95442000,0.94972000,0.95310000,78836,1.00018889,0.95761141,0.96819919,0.98133351,0.99607508,1.01211648,1.02926664,1.04739277,1.06639615,1.08619990,1.10674216,1.12797186,1.14984597,0.94860984,0.93823629,0.92567879,0.91197906,0.89752477,0.88256976,0.86729604,0.85184067,0.83630979,0.82078703,0.80533889,0.79001852
2020,10,1,0.95414000,0.95764000,0.95253000,0.95415000,86964,1.00110167,0.95866638,0.96926582,0.98241461,0.99717242,1.01323149,1.03040055,1.04854665,1.06757096,1.08739653,1.10796143,1.12921451,1.15111272,0.94965490,0.93926991,0.92669858,0.91298376,0.89851355,0.88354206,0.86825152,0.85277912,0.83723113,0.82169126,0.80622611,0.79088886
