Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,0.71592000,0.71906000,0.71284000,0.71360000,77753,1.00000000,0.71701834,0.72504119,0.73499410,0.74616511,0.75832121,0.77131758,0.78505360,0.79945443,0.81446182,0.83002889,0.84611692,0.86269332,0.71019796,0.70233936,0.69282863,0.68245614,0.67151618,0.66020142,0.64864993,0.63696559,0.62522877,0.61350269,0.60183758,0.59027345
2020,10,13,0.72076000,0.72098000,0.71503000,0.71593000,50412,1.00326513,0.71935950,0.72740854,0.73739396,0.74860144,0.76079723,0.77383604,0.78761691,0.80206476,0.81712115,0.83273905,0.84887961,0.86551012,0.71251685,0.70463259,0.69509081,0.68468445,0.67370877,0.66235706,0.65076786,0.63904536,0.62727022,0.61550586,0.60380266,0.59220077
2020,10,12,0.72303000,0.72346000,0.72027000,0.72075000,2480,1.00673250,0.72420259,0.73230582,0.74235846,0.75364140,0.76591930,0.77904589,0.79291954,0.80746466,0.82262242,0.83834546,0.85459469,0.87133717,0.71731387,0.70937653,0.69977051,0.68929409,0.67824452,0.66681638,0.65514915,0.64334774,0.63149332,0.61964976,0.60786776,0.59618777
2020,10,11,0.72259000,0.72338000,0.72249000,0.72300000,54980,1.00312175,0.72646337,0.73459190,0.74467592,0.75599408,0.76831030,0.78147788,0.79539483,0.80998536,0.82519044,0.84096257,0.85726252,0.87405727,0.71955315,0.71159102,0.70195502,0.69144589,0.68036183,0.66889802,0.65719436,0.64535611,0.63346468,0.62158415,0.60976537,0.59804891
2020,10,9,0.71721000,0.72427000,0.71683000,0.72406000,55767,1.00146611,0.72752844,0.73566889,0.74576770,0.75710245,0.76943673,0.78262361,0.79656097,0.81117289,0.82640026,0.84219551,0.85851937,0.87533874,0.72060809,0.71263430,0.70298417,0.69245963,0.68135931,0.66987870,0.65815788,0.64630227,0.63439341,0.62249546,0.61065936,0.59892572
2020,10,8,0.71388000,0.71758000,0.71230000,0.71721000,66292,0.99053946,0.72064563,0.72870907,0.73871233,0.74993985,0.76215744,0.77521957,0.78902507,0.80349876,0.81858207,0.83422789,0.85039731,0.86705756,0.71379075,0.70589239,0.69633355,0.68590859,0.67491328,0.66354128,0.65193135,0.64018790,0.62839171,0.61660632,0.60488219,0.59325956
2020,10,7,0.70999000,0.71515000,0.70982000,0.71388000,78254,0.99535701,0.71729968,0.72532568,0.73528250,0.74645789,0.75861875,0.77162023,0.78536164,0.79976812,0.81478140,0.83035457,0.84644892,0.86303182,0.71047663,0.70261494,0.69310048,0.68272392,0.67177967,0.66046046,0.64890444,0.63721552,0.62547409,0.61374342,0.60207373,0.59050506
2020,10,6,0.71921000,0.72086000,0.70950000,0.70999000,60406,0.99455090,0.71339104,0.72137331,0.73127587,0.74239037,0.75448497,0.76741560,0.78108213,0.79541010,0.81034158,0.82582989,0.84183654,0.85832907,0.70660517,0.69878632,0.68932371,0.67900369,0.66811908,0.65686155,0.64536850,0.63374327,0.62206582,0.61039907,0.59879297,0.58728734
2020,10,5,0.71665000,0.71931000,0.71624000,0.71919000,2001,1.01295793,0.72263511,0.73072081,0.74075169,0.75201021,0.76426153,0.77735971,0.79120333,0.80571697,0.82084192,0.83653094,0.85274500,0.86945124,0.71576131,0.70784115,0.69825592,0.68780217,0.67677652,0.66537312,0.65373114,0.64195527,0.63012651,0.61830858,0.60655209,0.59489737
2020,10,4,0.71643000,0.71686000,0.71544000,0.71661000,96899,0.99641263,0.72004276,0.72809945,0.73809434,0.74931247,0.76151984,0.77457104,0.78836499,0.80282657,0.81789726,0.83352999,0.84968589,0.86633220,0.71319361,0.70530186,0.69575102,0.68533477,0.67434867,0.66298618,0.65138596,0.63965234,0.62786601,0.61609048,0.60437616,0.59276325
