Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,1.64022000,1.64714000,1.63369000,1.64540000,99296,1.00000000,1.65325836,1.67170161,1.69458141,1.72026123,1.74820548,1.77808130,1.80965736,1.84276163,1.87726023,1.91304537,1.95002807,1.98813337,1.63757899,1.61951220,1.59764597,1.57379653,1.54864013,1.52261944,1.49605181,1.46917600,1.44217681,1.41519967,1.38836010,1.36175027
2020,10,13,1.63896000,1.64594000,1.63703000,1.64022000,72983,0.99685183,1.64805362,1.66643881,1.68924658,1.71484555,1.74270183,1.77248360,1.80396025,1.83696030,1.87135029,1.90702277,1.94388904,1.98187439,1.63242362,1.61441370,1.59261631,1.56884195,1.54376474,1.51782597,1.49134198,1.46455078,1.43763659,1.41074438,1.38398931,1.35746325
2020,10,12,1.63441000,1.63935000,1.63327000,1.63898000,3301,0.99924400,1.64680770,1.66517899,1.68796951,1.71354914,1.74138436,1.77114361,1.80259646,1.83557157,1.86993556,1.90558107,1.94241947,1.98037610,1.63118951,1.61319321,1.59141230,1.56765591,1.54259766,1.51667850,1.49021453,1.46344359,1.43654974,1.40967786,1.38294301,1.35643701
2020,10,11,1.63429000,1.63500000,1.63288000,1.63432000,80387,0.99715677,1.64212544,1.66044450,1.68317022,1.70867712,1.73643320,1.76610784,1.79747126,1.83035261,1.86461890,1.90016306,1.93689672,1.97474543,1.62655166,1.60860653,1.58688754,1.56319871,1.53821170,1.51236624,1.48597751,1.45928268,1.43246530,1.40566982,1.37901099,1.35258035
2020,10,9,1.64010000,1.64218000,1.63269000,1.63342000,85294,0.99944931,1.64122114,1.65953011,1.68224332,1.70773617,1.73547697,1.76513526,1.79648141,1.82934466,1.86359207,1.89911666,1.93583010,1.97365797,1.62565594,1.60772069,1.58601366,1.56233787,1.53736463,1.51153339,1.48515920,1.45847907,1.43167646,1.40489573,1.37825158,1.35183550
2020,10,8,1.64839000,1.65093000,1.63883000,1.64010000,98613,1.00408958,1.64793305,1.66631689,1.68912299,1.71472009,1.74257434,1.77235392,1.80382827,1.83682591,1.87121338,1.90688325,1.94374683,1.98172940,1.63230419,1.61429559,1.59249979,1.56872718,1.54365180,1.51771493,1.49123287,1.46444363,1.43753141,1.41064116,1.38388805,1.35736393
2020,10,7,1.65250000,1.65290000,1.64576000,1.64837000,110931,1.00504238,1.65624254,1.67471909,1.69764018,1.72336636,1.75136105,1.78129080,1.81292385,1.84608788,1.88064874,1.91649847,1.95354793,1.99172202,1.64053488,1.62243547,1.60052977,1.57663729,1.55143547,1.52536782,1.49875223,1.47182791,1.44477998,1.41775415,1.39086613,1.36420827
2020,10,6,1.63889000,1.65325000,1.63627000,1.65253000,85729,1.00252371,1.66042241,1.67894558,1.70192453,1.72771563,1.75578097,1.78578625,1.81749913,1.85074686,1.88539494,1.92133515,1.95847811,1.99674854,1.64467510,1.62653002,1.60456904,1.58061625,1.55535084,1.52921740,1.50253464,1.47554237,1.44842618,1.42133214,1.39437627,1.36765113
2020,10,5,1.63457000,1.64195000,1.63078000,1.63886000,2054,0.99172784,1.64668712,1.66505707,1.68784593,1.71342368,1.74125686,1.77101393,1.80246448,1.83543717,1.86979865,1.90544155,1.94227726,1.98023111,1.63107008,1.61307510,1.59129578,1.56754114,1.54248472,1.51656746,1.49010542,1.46333644,1.43644456,1.40957465,1.38284176,1.35633770
2020,10,4,1.63421000,1.63620000,1.63298000,1.63464000,132543,0.99742504,1.64244697,1.66076961,1.68349979,1.70901168,1.73677319,1.76645364,1.79782320,1.83071100,1.86498399,1.90053511,1.93727597,1.97513209,1.62687014,1.60892149,1.58719826,1.56350478,1.53851288,1.51266236,1.48626846,1.45956841,1.43274577,1.40594505,1.37928100,1.35284518
2020,10,2,1.63464000,1.64229000,1.63433000,1.63532000,125239,1.00041599,1.64313022,1.66146048,1.68420011,1.70972262,1.73749568,1.76718848,1.79857109,1.83147256,1.86575981,1.90132572,1.93808186,1.97595373,1.62754691,1.60959080,1.58785852,1.56415519,1.53915289,1.51329161,1.48688674,1.46017558,1.43334179,1.40652991,1.37985477,1.35340796
