Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,13,1.54920000,1.55034000,1.54043000,1.54361000,64277,1.00000000,1.55094965,1.56817565,1.58954554,1.61353072,1.63963094,1.66753528,1.69702768,1.72794747,1.76016958,1.79359335,1.82813566,1.86372651,1.53630509,1.51942917,1.49900193,1.47671922,1.45321229,1.42889440,1.40406185,1.37893766,1.35369447,1.32846826,1.30336708,1.27847719
2020,10,12,1.55154000,1.55236000,1.54746000,1.54919000,3072,1.00361490,1.55655618,1.57384445,1.59529159,1.61936348,1.64555805,1.67356326,1.70316227,1.73419383,1.76653242,1.80007701,1.83474419,1.87046370,1.54185868,1.52492176,1.50442068,1.48205742,1.45846551,1.43405972,1.40913740,1.38392238,1.35858795,1.33327054,1.30807862,1.28309876
2020,10,11,1.55119000,1.55162000,1.54930000,1.55147000,75091,1.00147174,1.55884702,1.57616074,1.59763944,1.62174676,1.64797987,1.67602631,1.70566888,1.73674611,1.76913229,1.80272625,1.83744445,1.87321653,1.54412789,1.52716605,1.50663479,1.48423862,1.46061199,1.43617027,1.41121128,1.38595915,1.36058743,1.33523277,1.31000377,1.28498714
2020,10,9,1.55233000,1.55521000,1.55026000,1.55122000,81711,0.99983886,1.55859583,1.57590676,1.59738200,1.62148543,1.64771432,1.67575624,1.70539403,1.73646625,1.76884722,1.80243576,1.83714837,1.87291469,1.54387907,1.52691996,1.50639201,1.48399945,1.46037663,1.43593885,1.41098388,1.38573582,1.36036819,1.33501761,1.30979268,1.28478008
2020,10,8,1.55969000,1.56071000,1.55031000,1.55225000,93031,1.00066399,1.55963073,1.57695315,1.59844265,1.62256209,1.64880839,1.67686893,1.70652640,1.73761925,1.77002172,1.80363257,1.83836823,1.87415829,1.54490420,1.52793383,1.50739225,1.48498482,1.46134631,1.43689231,1.41192077,1.38665594,1.36127147,1.33590405,1.31066237,1.28563317
2020,10,7,1.56301000,1.56599000,1.55882000,1.55966000,105291,1.00477372,1.56707596,1.58448108,1.60607316,1.63030774,1.65667934,1.68487382,1.71467287,1.74591415,1.77847130,1.81224260,1.84714407,1.88310499,1.55227913,1.53522775,1.51458811,1.49207371,1.46832236,1.44375162,1.41866087,1.39327544,1.36776979,1.34228128,1.31691910,1.29177042
2020,10,6,1.56255000,1.56563000,1.56095000,1.56303000,76027,1.00216073,1.57046199,1.58790471,1.60954345,1.63383039,1.66025897,1.68851437,1.71837781,1.74968660,1.78231409,1.81615836,1.85113525,1.88717387,1.55563318,1.53854496,1.51786072,1.49529767,1.47149501,1.44687118,1.42172621,1.39628593,1.37072517,1.34518158,1.31976460,1.29456158
2020,10,5,1.55787000,1.56486000,1.55612000,1.56247000,2136,0.99964172,1.56989932,1.58733580,1.60896678,1.63324502,1.65966413,1.68790942,1.71776215,1.74905972,1.78167553,1.81550767,1.85047203,1.88649773,1.55507583,1.53799373,1.51731690,1.49476194,1.47096780,1.44635279,1.42121684,1.39578567,1.37023407,1.34469963,1.31929176,1.29409777
2020,10,4,1.55763000,1.55813000,1.55677000,1.55781000,114081,0.99701754,1.56521717,1.58260164,1.60416811,1.62837394,1.65471426,1.68287530,1.71263900,1.74384323,1.77636176,1.81009300,1.84495307,1.88087133,1.55043789,1.53340673,1.51279157,1.49030388,1.46658070,1.44203911,1.41697812,1.39162280,1.36614740,1.34068912,1.31535703,1.29023817
2020,10,2,1.55976000,1.56254000,1.55746000,1.55884000,114453,1.00066118,1.56625206,1.58364803,1.60522876,1.62945059,1.65580833,1.68398799,1.71377137,1.74499623,1.77753626,1.81128980,1.84617293,1.88211494,1.55146301,1.53442059,1.51379181,1.49128924,1.46755038,1.44299256,1.41791501,1.39254292,1.36705068,1.34157557,1.31622672,1.29109126
2020,10,1,1.56106000,1.56397000,1.55796000,1.55978000,123625,1.00060301,1.56719653,1.58460299,1.60619673,1.63043317,1.65680680,1.68500346,1.71480480,1.74604848,1.77860814,1.81238203,1.84728619,1.88324988,1.55239856,1.53534587,1.51470464,1.49218851,1.46843533,1.44386271,1.41877003,1.39338264,1.36787503,1.34238455,1.31702043,1.29186980
2020,9,30,1.57178000,1.57389000,1.55926000,1.56108000,100708,1.00083345,1.56850271,1.58592368,1.60753542,1.63179206,1.65818767,1.68640782,1.71623400,1.74750373,1.78009052,1.81389256,1.84882582,1.88481947,1.55369241,1.53662550,1.51596707,1.49343218,1.46965920,1.44506609,1.41995250,1.39454396,1.36901508,1.34350337,1.31811810,1.29294651
2020,9,29,1.55980000,1.57389000,1.55932000,1.57170000,99424,1.00680298,1.57917321,1.59671269,1.61847146,1.64289311,1.66946829,1.69788043,1.72790951,1.75939197,1.79220044,1.82623244,1.86140335,1.89764187,1.56426215,1.54707914,1.52628017,1.50359197,1.47965727,1.45489685,1.42961241,1.40403102,1.37832847,1.35264320,1.32708523,1.30174241
2020,9,28,1.55660000,1.56284000,1.55579000,1.55977000,2585,0.99240949,1.56718649,1.58459283,1.60618644,1.63042272,1.65679618,1.68499265,1.71479380,1.74603729,1.77859673,1.81237041,1.84727435,1.88323780,1.55238861,1.53533603,1.51469493,1.49217894,1.46842592,1.44385345,1.41876093,1.39337371,1.36786626,1.34237595,1.31701198,1.29186152
2020,9,27,1.55609000,1.55688000,1.55438000,1.55654000,102127,0.99792918,1.56394113,1.58131142,1.60286032,1.62704641,1.65336526,1.68150334,1.71124278,1.74242156,1.77491358,1.80861732,1.84344898,1.87933796,1.54917390,1.53215662,1.51155827,1.48908891,1.46538508,1.44086349,1.41582293,1.39048828,1.36503365,1.33959613,1.31428469,1.28918631
2020,9,25,1.55870000,1.55998000,1.55516000,1.55689000,122353,1.00022486,1.56429279,1.58166699,1.60322073,1.62741227,1.65373703,1.68188144,1.71162756,1.74281336,1.77531269,1.80902401,1.84386349,1.87976054,1.54952224,1.53250114,1.51189816,1.48942375,1.46571458,1.44118748,1.41614129,1.39080095,1.36534059,1.33989735,1.31458022,1.28947620
2020,9,24,1.56062000,1.56367000,1.55683000,1.55872000,118378,1.00117542,1.56613149,1.58352612,1.60510519,1.62932516,1.65568086,1.68385836,1.71363945,1.74486190,1.77739942,1.81115037,1.84603081,1.88197005,1.55134358,1.53430247,1.51367527,1.49117444,1.46743741,1.44288148,1.41780585,1.39243572,1.36694544,1.34147229,1.31612540,1.29099187
2020,9,23,1.55742000,1.56176000,1.55399000,1.56063000,116611,1.00122536,1.56805058,1.58546651,1.60707203,1.63132168,1.65770968,1.68592170,1.71573928,1.74699999,1.77957739,1.81336969,1.84829287,1.88427615,1.55324454,1.53618255,1.51553008,1.49300168,1.46923556,1.44464954,1.41954318,1.39414196,1.36862045,1.34311609,1.31773813,1.29257381
2020,9,22,1.56594000,1.56626000,1.55663000,1.55748000,117470,0.99798158,1.56488560,1.58226638,1.60382829,1.62802899,1.65436373,1.68251881,1.71227620,1.74347382,1.77598546,1.80970955,1.84456225,1.88047290,1.55010945,1.53308190,1.51247111,1.48998818,1.46627003,1.44173363,1.41667795,1.39132801,1.36585800,1.34040512,1.31507839,1.28996486
2020,9,21,1.56415000,1.56729000,1.55780000,1.56584000,2418,1.00536765,1.57328535,1.59075943,1.61243707,1.63676767,1.66324377,1.69154997,1.72146709,1.75283217,1.78551832,1.81942343,1.85446320,1.89056661,1.55842989,1.54131094,1.52058952,1.49798591,1.47414044,1.44947235,1.42428218,1.39879616,1.37318944,1.34759994,1.32213726,1.29688893
2020,9,20,1.56355000,1.56458000,1.56168000,1.56418000,100831,0.99893987,1.57161746,1.58907301,1.61072767,1.63503248,1.66148051,1.68975670,1.71964211,1.75097393,1.78362543,1.81749460,1.85249722,1.88856236,1.55677774,1.53967694,1.51897749,1.49639784,1.47257766,1.44793571,1.42277225,1.39731325,1.37173368,1.34617130,1.32073562,1.29551405
2020,9,18,1.55814000,1.56563000,1.55775000,1.56328000,126659,0.99942462,1.57071318,1.58815869,1.60980089,1.63409171,1.66052452,1.68878445,1.71865266,1.74996645,1.78259917,1.81644885,1.85143133,1.88747571,1.55588200,1.53879104,1.51810350,1.49553684,1.47173036,1.44710260,1.42195361,1.39650926,1.37094441,1.34539674,1.31997570,1.29476864
2020,9,17,1.55629000,1.56254000,1.55348000,1.55813000,117043,0.99670564,1.56553869,1.58292673,1.60449763,1.62870843,1.65505416,1.68322099,1.71299081,1.74420144,1.77672665,1.81046482,1.84533206,1.88125770,1.55075637,1.53372172,1.51310232,1.49061001,1.46688196,1.44233533,1.41726919,1.39190866,1.36642803,1.34096452,1.31562723,1.29050321
2020,9,16,1.56244000,1.56444000,1.55274000,1.55629000,85835,0.99881910,1.56368994,1.58105745,1.60260288,1.62678509,1.65309970,1.68123327,1.71096793,1.74214171,1.77462851,1.80832684,1.84315290,1.87903611,1.54892508,1.53191054,1.51131550,1.48884975,1.46514972,1.44063207,1.41559554,1.39026495,1.36481441,1.33938098,1.31407360,1.28897925
2020,9,15,1.56331000,1.56498000,1.55945000,1.56246000,78092,1.00396456,1.56988928,1.58732564,1.60895649,1.63323457,1.65965351,1.68789861,1.71775116,1.74904853,1.78166412,1.81549605,1.85046018,1.88648566,1.55506588,1.53798389,1.51730719,1.49475238,1.47095839,1.44634354,1.42120774,1.39577674,1.37022530,1.34469103,1.31928332,1.29408948
2020,9,14,1.56187000,1.56563000,1.55844000,1.56332000,2178,1.00055041,1.57075337,1.58819932,1.60984208,1.63413352,1.66056701,1.68882766,1.71869663,1.75001123,1.78264478,1.81649533,1.85147870,1.88752401,1.55592181,1.53883041,1.51814234,1.49557511,1.47176802,1.44713963,1.42199000,1.39654499,1.37097949,1.34543116,1.32000947,1.29480177
2020,9,13,1.56004000,1.56182000,1.55930000,1.56182000,90949,0.99904050,1.56924623,1.58667545,1.60829744,1.63256558,1.65897370,1.68720723,1.71704755,1.74833210,1.78093434,1.81475241,1.84970222,1.88571293,1.55442891,1.53735391,1.51668569,1.49414011,1.47035587,1.44575110,1.42062560,1.39520501,1.36966404,1.34414023,1.31874293,1.29355941
2020,9,11,1.55985000,1.56367000,1.55753000,1.56151000,122236,0.99980151,1.56893476,1.58636052,1.60797822,1.63224154,1.65864442,1.68687235,1.71670674,1.74798508,1.78058084,1.81439220,1.84933508,1.88533865,1.55412038,1.53704877,1.51638465,1.49384354,1.47006402,1.44546414,1.42034363,1.39492808,1.36939218,1.34387343,1.31848117,1.29330266
2020,9,10,1.55239000,1.56589000,1.55169000,1.55985000,107136,0.99893693,1.56726687,1.58467410,1.60626882,1.63050634,1.65688116,1.68507908,1.71488176,1.74612684,1.77868796,1.81246337,1.84736910,1.88333439,1.55246823,1.53541477,1.51477262,1.49225548,1.46850123,1.44392750,1.41883370,1.39344517,1.36793641,1.34244480,1.31707953,1.29192778
2020,9,9,1.55816000,1.56146000,1.55095000,1.55238000,121796,0.99521108,1.55976135,1.57708522,1.59857652,1.62269798,1.64894648,1.67700936,1.70666932,1.73776478,1.77016996,1.80378362,1.83852219,1.87431525,1.54503358,1.52806179,1.50751849,1.48510918,1.46146870,1.43701265,1.41203901,1.38677207,1.36138547,1.33601593,1.31077214,1.28574084
2020,9,8,1.54697000,1.55947000,1.54638000,1.55815000,68662,1.00371687,1.56555878,1.58294705,1.60451823,1.62872934,1.65507541,1.68324260,1.71301279,1.74422383,1.77674946,1.81048806,1.84535574,1.88128184,1.55077628,1.53374140,1.51312175,1.49062914,1.46690079,1.44235384,1.41728738,1.39192653,1.36644557,1.34098174,1.31564411,1.29051978
2020,9,7,1.54812000,1.55237000,1.54578000,1.54697000,3566,0.99282482,1.55432562,1.57158912,1.59300553,1.61704292,1.64319995,1.67116503,1.70072163,1.73170872,1.76400097,1.79749749,1.83211499,1.86778332,1.53964919,1.52273654,1.50226483,1.47993362,1.45637552,1.43200470,1.40711810,1.38193921,1.35664108,1.33135996,1.30620414,1.28126007
2020,9,6,1.54649000,1.54865000,1.54506000,1.54813000,130011,1.00074985,1.55549114,1.57276758,1.59420005,1.61825546,1.64443211,1.67241816,1.70199692,1.73300724,1.76532371,1.79884535,1.83348881,1.86918388,1.54080370,1.52387837,1.50339131,1.48104335,1.45746759,1.43307849,1.40817323,1.38297546,1.35765836,1.33235828,1.30718360,1.28222083
2020,9,4,1.55574000,1.55620000,1.54561000,1.54609000,139486,0.99868228,1.55344144,1.57069512,1.59209934,1.61612306,1.64226521,1.67021438,1.69975416,1.73072363,1.76299751,1.79647498,1.83107279,1.86672082,1.53877335,1.52187032,1.50141026,1.47909175,1.45554705,1.43119010,1.40631765,1.38115309,1.35586935,1.33060261,1.30546110,1.28053122
2020,9,3,1.54637000,1.55777000,1.54291000,1.55571000,115326,1.00622215,1.56310718,1.58046821,1.60200562,1.62617882,1.65248363,1.68060671,1.71033029,1.74149245,1.77396714,1.80765291,1.84246599,1.87833583,1.54834782,1.53133963,1.51075226,1.48829488,1.46460368,1.44009517,1.41506797,1.38974683,1.36430577,1.33888181,1.31358387,1.28849887
2020,9,2,1.55664000,1.55718000,1.54480000,1.54647000,129744,0.99406059,1.55382325,1.57108117,1.59249065,1.61652027,1.64266885,1.67062489,1.70017193,1.73114901,1.76343082,1.79691652,1.83152283,1.86717962,1.53915155,1.52224437,1.50177928,1.47945529,1.45590480,1.43154186,1.40666330,1.38149255,1.35620260,1.33092965,1.30578195,1.28084595
2020,9,1,1.55712000,1.56482000,1.55537000,1.55660000,114960,1.00655040,1.56400141,1.58137238,1.60292210,1.62710913,1.65342899,1.68156816,1.71130874,1.74248873,1.77498200,1.80868704,1.84352004,1.87941040,1.54923361,1.53221568,1.51161654,1.48914631,1.46544156,1.44091903,1.41587751,1.39054188,1.36508627,1.33964777,1.31433535,1.28923601
2020,8,31,1.55865000,1.56038000,1.55388000,1.55703000,3366,1.00027624,1.56443346,1.58180922,1.60336490,1.62755861,1.65388574,1.68203268,1.71178148,1.74297008,1.77547233,1.80918668,1.84402930,1.87992958,1.54966158,1.53263895,1.51203411,1.48955768,1.46584638,1.44131708,1.41626864,1.39092601,1.36546337,1.34001784,1.31469843,1.28959215
2020,8,30,1.55881000,1.55918000,1.55770000,1.55865000,132904,1.00104044,1.56606116,1.58345500,1.60503311,1.62925199,1.65560651,1.68378274,1.71356249,1.74478354,1.77731960,1.81106903,1.84594791,1.88188553,1.55127391,1.53423357,1.51360730,1.49110748,1.46737151,1.44281668,1.41774218,1.39237319,1.36688405,1.34141205,1.31606630,1.29093389
2020,8,28,1.55150000,1.56055000,1.55078000,1.55915000,133344,1.00032079,1.56656354,1.58396296,1.60554799,1.62977464,1.65613761,1.68432288,1.71411218,1.74534325,1.77788975,1.81165001,1.84654007,1.88248923,1.55177155,1.53472574,1.51409285,1.49158581,1.46784223,1.44327952,1.41819698,1.39281985,1.36732254,1.34184236,1.31648848,1.29134801
2020,8,27,1.55560000,1.55985000,1.54694000,1.55150000,95583,0.99509348,1.55887716,1.57619122,1.59767033,1.62177812,1.64801174,1.67605871,1.70570186,1.73677969,1.76916650,1.80276111,1.83747998,1.87325275,1.54415775,1.52719558,1.50666392,1.48426732,1.46064023,1.43619805,1.41123857,1.38598595,1.36061374,1.33525859,1.31002910,1.28501199
2020,8,26,1.55856000,1.55918000,1.55240000,1.55569000,101388,1.00270061,1.56308709,1.58044790,1.60198502,1.62615791,1.65246238,1.68058510,1.71030830,1.74147006,1.77394433,1.80762967,1.84244231,1.87831168,1.54832792,1.53131994,1.51073284,1.48827575,1.46458485,1.44007666,1.41504978,1.38972896,1.36428823,1.33886460,1.31356698,1.28848231
2020,8,25,1.55896000,1.56469000,1.55817000,1.55857000,94133,1.00185127,1.56598078,1.58337373,1.60495073,1.62916836,1.65552153,1.68369631,1.71347454,1.74469399,1.77722838,1.81097608,1.84585316,1.88178894,1.55119429,1.53415482,1.51352961,1.49103094,1.46729619,1.44274263,1.41766941,1.39230172,1.36681390,1.34134320,1.31599875,1.29086764
2020,8,24,1.55445000,1.56175000,1.55244000,1.55895000,2874,1.00024381,1.56636259,1.58375978,1.60534203,1.62956558,1.65592517,1.68410682,1.71389231,1.74511937,1.77766169,1.81141762,1.84630320,1.88224775,1.55157249,1.53452887,1.51389863,1.49139448,1.46765394,1.44309439,1.41801506,1.39264119,1.36714714,1.34167024,1.31631960,1.29118237
2020,8,23,1.55387000,1.55510000,1.55309000,1.55443000,114015,0.99710061,1.56182110,1.57916784,1.60068753,1.62484084,1.65112400,1.67922394,1.70892307,1.74005959,1.77250756,1.80616562,1.84095006,1.87679038,1.54707388,1.53007968,1.50950925,1.48707035,1.46339864,1.43891030,1.41390369,1.38860338,1.36318325,1.33778021,1.31250308,1.28743873
2020,8,21,1.56389000,1.56434000,1.55237000,1.55598000,127809,1.00099715,1.56337847,1.58074251,1.60228365,1.62646105,1.65277042,1.68089838,1.71062712,1.74179469,1.77427502,1.80796663,1.84278576,1.87866183,1.54861655,1.53160540,1.51101446,1.48855318,1.46485787,1.44034511,1.41531356,1.38998803,1.36454255,1.33911418,1.31381185,1.28872250
2020,8,20,1.56534000,1.56787000,1.56132000,1.56390000,115935,1.00509004,1.57133612,1.58878855,1.61043934,1.63473980,1.66118309,1.68945422,1.71933428,1.75066049,1.78330615,1.81716926,1.85216561,1.88822429,1.55649907,1.53940133,1.51870558,1.49612997,1.47231406,1.44767652,1.42251756,1.39706312,1.37148813,1.34593033,1.32049920,1.29528215
