Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,1.17437000,1.17710000,1.17197000,1.17427000,58326,1.00000000,1.17983464,1.19289535,1.20909860,1.22728506,1.24707536,1.26823373,1.29059631,1.31404126,1.33847375,1.36381745,1.39000932,1.41699628,1.16873160,1.15593546,1.14044466,1.12354503,1.10571508,1.08726807,1.06842862,1.04936586,1.03021074,1.01106643,0.99201496,0.97312184
2020,10,13,1.18140000,1.18148000,1.17308000,1.17435000,50779,1.00006813,1.17991502,1.19297662,1.20918097,1.22736867,1.24716032,1.26832013,1.29068423,1.31413078,1.33856494,1.36391036,1.39010402,1.41709282,1.16881123,1.15601421,1.14052235,1.12362158,1.10579041,1.08734214,1.06850141,1.04943735,1.03028092,1.01113531,0.99208254,0.97318814
2020,10,12,1.18175000,1.18266000,1.17869000,1.18140000,3232,1.00600332,1.18699843,1.20013844,1.21644007,1.23473696,1.25464742,1.27593426,1.29843262,1.32201993,1.34660077,1.37209835,1.39844926,1.42560008,1.17582797,1.16295413,1.14736927,1.13036704,1.11242882,1.09386980,1.07491597,1.05573746,1.03646603,1.01720548,0.99803833,0.97903050
2020,10,11,1.18165000,1.18221000,1.18113000,1.18170000,56363,1.00025394,1.18729985,1.20044320,1.21674897,1.23505050,1.25496602,1.27625827,1.29876234,1.32235564,1.34694273,1.37244678,1.39880437,1.42596209,1.17612656,1.16324945,1.14766063,1.13065408,1.11271131,1.09414758,1.07518893,1.05600555,1.03672923,1.01746378,0.99829177,0.97927911
2020,10,9,1.17648000,1.18305000,1.17578000,1.18291000,58949,1.00102395,1.18851559,1.20167239,1.21799486,1.23631513,1.25625105,1.27756509,1.30009221,1.32370966,1.34832193,1.37385209,1.40023668,1.42742220,1.17733085,1.16444056,1.14883578,1.13181181,1.11385067,1.09526793,1.07628987,1.05708684,1.03779078,1.01850561,0.99931397,0.98028184
2020,10,8,1.17685000,1.17815000,1.17327000,1.17639000,66046,0.99448817,1.18196469,1.19504898,1.21128147,1.22950077,1.24932680,1.27052337,1.29292632,1.31641360,1.34089020,1.36627965,1.39251881,1.41955449,1.17084160,1.15802236,1.14250359,1.12557346,1.10771131,1.08923099,1.07035754,1.05126036,1.03207066,1.01289178,0.99380592,0.97487870
2020,10,7,1.17339000,1.17818000,1.17251000,1.17683000,73492,1.00037403,1.18240677,1.19549595,1.21173452,1.22996064,1.24979408,1.27099858,1.29340991,1.31690597,1.34139173,1.36679067,1.39303965,1.42008544,1.17127953,1.15845549,1.14293091,1.12599445,1.10812563,1.08963840,1.07075788,1.05165356,1.03245668,1.01327063,0.99417763,0.97524333
2020,10,6,1.17880000,1.18076000,1.17303000,1.17340000,59492,0.99708539,1.17896052,1.19201155,1.20820279,1.22637578,1.24615142,1.26729411,1.28964012,1.31306771,1.33748210,1.36280701,1.38897948,1.41594645,1.16786571,1.15507904,1.13959972,1.12271261,1.10489587,1.08646252,1.06763704,1.04858840,1.02944747,1.01031734,0.99127999,0.97240087
2020,10,5,1.17148000,1.17974000,1.17130000,1.17874000,1681,1.00455088,1.18432583,1.19743625,1.21370117,1.23195687,1.25182250,1.27306141,1.29550912,1.31904332,1.34356881,1.36900898,1.39530056,1.42239025,1.17318052,1.16033567,1.14478590,1.12782194,1.10992412,1.09140688,1.07249572,1.05336039,1.03413236,1.01491517,0.99579118,0.97682615
2020,10,4,1.17137000,1.17173000,1.17054000,1.17149000,90209,0.99384936,1.17704147,1.19007126,1.20623614,1.22437955,1.24412300,1.26523128,1.28754091,1.31093036,1.33530501,1.36058871,1.38671857,1.41364164,1.16596471,1.15319886,1.13774474,1.12088512,1.10309738,1.08469404,1.06589919,1.04688156,1.02777179,1.00867280,0.98966643,0.97081805
2020,10,2,1.17446000,1.17449000,1.16958000,1.17167000,77411,1.00015365,1.17722232,1.19025411,1.20642148,1.22456768,1.24431416,1.26542568,1.28773874,1.31113179,1.33551018,1.36079776,1.38693164,1.41385885,1.16614387,1.15337605,1.13791955,1.12105735,1.10326687,1.08486070,1.06606297,1.04704241,1.02792971,1.00882778,0.98981849,0.97096721
