Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,1.29345000,1.30642000,1.28628000,1.30085000,59730,1.00000000,1.30706062,1.32163767,1.33972228,1.36002045,1.38210873,1.40572395,1.43068324,1.45685060,1.48412019,1.51240680,1.54164009,1.57176080,1.29466889,1.28038930,1.26310561,1.24425388,1.22436874,1.20380016,1.18279901,1.16155405,1.14021137,1.11888595,1.09766912,1.07663375
2020,10,13,1.30644000,1.30677000,1.29218000,1.29343000,47538,0.99429604,1.29960520,1.31409909,1.33208056,1.35226295,1.37422523,1.39770576,1.42252267,1.44854078,1.47565483,1.50378009,1.53284663,1.56279554,1.28728415,1.27308600,1.25590090,1.23715670,1.21738499,1.19693373,1.17605237,1.15492859,1.13370765,1.11250387,1.09140806,1.07049267
2020,10,12,1.30342000,1.30824000,1.30053000,1.30653000,1958,1.01012811,1.31276774,1.32740843,1.34557201,1.36595881,1.38814353,1.41186187,1.43693014,1.46321176,1.49060042,1.51901054,1.54837147,1.57862370,1.30032190,1.28597996,1.26862080,1.24968676,1.22971479,1.20905641,1.18796356,1.16662583,1.14518997,1.12377143,1.10246196,1.08133473
2020,10,11,1.30257000,1.30346000,1.30212000,1.30342000,51960,0.99761965,1.30964289,1.32424873,1.34236908,1.36270735,1.38483926,1.40850114,1.43350974,1.45972880,1.48705227,1.51539476,1.54468580,1.57486602,1.29722668,1.28291887,1.26560104,1.24671207,1.22678764,1.20617843,1.18513579,1.16384886,1.14246401,1.12109646,1.09983771,1.07876078
2020,10,9,1.29367000,1.30494000,1.29221000,1.30494000,54157,1.00116616,1.31117015,1.32579302,1.34393450,1.36429649,1.38645421,1.41014369,1.43518145,1.46143108,1.48878641,1.51716196,1.54648716,1.57670257,1.29873946,1.28441497,1.26707693,1.24816594,1.22821828,1.20758503,1.18651785,1.16520609,1.14379631,1.12240384,1.10112030,1.08001879
2020,10,8,1.29193000,1.29701000,1.28911000,1.29365000,61777,0.99134826,1.29982625,1.31432261,1.33230713,1.35249295,1.37445897,1.39794349,1.42276463,1.44878716,1.47590582,1.50403587,1.53310735,1.56306135,1.28750310,1.27330254,1.25611451,1.23736713,1.21759205,1.19713732,1.17625241,1.15512503,1.13390048,1.11269309,1.09159370,1.07067475
2020,10,7,1.28759000,1.29295000,1.28447000,1.29191000,69302,0.99865497,1.29807794,1.31255480,1.33051513,1.35067381,1.37261028,1.39606321,1.42085097,1.44683850,1.47392068,1.50201289,1.53104528,1.56095899,1.28577137,1.27158991,1.25442500,1.23570283,1.21595435,1.19552713,1.17467031,1.15357135,1.13237535,1.11119649,1.09012547,1.06923466
2020,10,6,1.29896000,1.30070000,1.28653000,1.28772000,49796,0.99675674,1.29386793,1.30829785,1.32619993,1.34629322,1.36815855,1.39153542,1.41624278,1.44214603,1.46914037,1.49714147,1.52607970,1.55589639,1.28160128,1.26746582,1.25035657,1.23169513,1.21201070,1.19164973,1.17086055,1.14983002,1.12870276,1.10759259,1.08658991,1.06576685
2020,10,5,1.29311000,1.29925000,1.28996000,1.29889000,1479,1.00867425,1.30509126,1.31964634,1.33770371,1.35797130,1.38002629,1.40360594,1.42852762,1.45465556,1.48188406,1.51012805,1.53931729,1.56939262,1.29271820,1.27846013,1.26120247,1.24237915,1.22252398,1.20198639,1.18101688,1.15980393,1.13849341,1.11720012,1.09601526,1.07501158
2020,10,4,1.29166000,1.29319000,1.29118000,1.29303000,82538,0.99548846,1.29920329,1.31369270,1.33166860,1.35184475,1.37380024,1.39727351,1.42208275,1.44809281,1.47519847,1.50331504,1.53237259,1.56231223,1.28688605,1.27269230,1.25551250,1.23677410,1.21700850,1.19656357,1.17568867,1.15457142,1.13335705,1.11215982,1.09107053,1.07016161
2020,10,2,1.28872000,1.29538000,1.28367000,1.29378000,81161,1.00058003,1.29995687,1.31445469,1.33244101,1.35262887,1.37459709,1.39808397,1.42290761,1.44893275,1.47605413,1.50418701,1.53326142,1.56321843,1.28763248,1.27343050,1.25624074,1.23749147,1.21771441,1.19725762,1.17637061,1.15524111,1.13401443,1.11280491,1.09170339,1.07078234
2020,10,1,1.29261000,1.29784000,1.28195000,1.28872000,78237,0.99608898,1.29487271,1.30931383,1.32722981,1.34733871,1.36922102,1.39261604,1.41734259,1.44326595,1.47028126,1.49830410,1.52726480,1.55710465,1.28259653,1.26845009,1.25132756,1.23265162,1.21295190,1.19257512,1.17176980,1.15072294,1.12957928,1.10845271,1.08743372,1.06659449
2020,9,30,1.28658000,1.29419000,1.28050000,1.29254000,62861,1.00296418,1.29871095,1.31319487,1.33116396,1.35133246,1.37327964,1.39674400,1.42154385,1.44754405,1.47463944,1.50274535,1.53179189,1.56172019,1.28639838,1.27221000,1.25503672,1.23630542,1.21654731,1.19611013,1.17524314,1.15413389,1.13292755,1.11173836,1.09065707,1.06975607
2020,9,29,1.28467000,1.29030000,1.28224000,1.28656000,61986,0.99537345,1.29270240,1.30711931,1.32500526,1.34508046,1.36692609,1.39028190,1.41496700,1.44084692,1.46781695,1.49579282,1.52470498,1.55449481,1.28044679,1.26632406,1.24923023,1.23058559,1.21091890,1.19057627,1.16980582,1.14879424,1.12768601,1.10659485,1.08561109,1.06480679
2020,9,28,1.27581000,1.29297000,1.27512000,1.28465000,1713,0.99851542,1.29078328,1.30517879,1.32303819,1.34308358,1.36489678,1.38821792,1.41286637,1.43870787,1.46563786,1.49357220,1.52244143,1.55218704,1.27854587,1.26444410,1.24737565,1.22875869,1.20912119,1.18880876,1.16806915,1.14708876,1.12601187,1.10495202,1.08399941,1.06322600
2020,9,27,1.27532000,1.27718000,1.27509000,1.27579000,62685,0.99310318,1.28188098,1.29617721,1.31391343,1.33382057,1.35548333,1.37864363,1.40312209,1.42878536,1.45552961,1.48327130,1.51194143,1.54148189,1.26972796,1.25572346,1.23877273,1.22028417,1.20078210,1.18060976,1.16001319,1.13917750,1.11824597,1.09733137,1.07652326,1.05589312
2020,9,25,1.27480000,1.28048000,1.26873000,1.27428000,85784,0.99881642,1.28036377,1.29464308,1.31235831,1.33224189,1.35387901,1.37701189,1.40146138,1.42709427,1.45380688,1.48151573,1.51015193,1.53965742,1.26822514,1.25423721,1.23730654,1.21883986,1.19936088,1.17921242,1.15864022,1.13782919,1.11692243,1.09603259,1.07524911,1.05464339
2020,9,24,1.27242000,1.27805000,1.26902000,1.27481000,79114,1.00041592,1.28089630,1.29518154,1.31290415,1.33279600,1.35444212,1.37758462,1.40204428,1.42768783,1.45441155,1.48213192,1.51078003,1.54029780,1.26875262,1.25475887,1.23782116,1.21934680,1.19985972,1.17970288,1.15912212,1.13830243,1.11738699,1.09648845,1.07569633,1.05508204
2020,9,23,1.27347000,1.27770000,1.26751000,1.27241000,79911,0.99811737,1.27848484,1.29274319,1.31043243,1.33028683,1.35189220,1.37499113,1.39940474,1.42500002,1.45167342,1.47934161,1.50793579,1.53739798,1.26636403,1.25239662,1.23549080,1.21705122,1.19760082,1.17748193,1.15693992,1.13615943,1.11528336,1.09442416,1.07367119,1.05309570
2020,9,22,1.28142000,1.28670000,1.27109000,1.27346000,76638,1.00082521,1.27953985,1.29380997,1.31151381,1.33138459,1.35300779,1.37612578,1.40055954,1.42617594,1.45287135,1.48056237,1.50918014,1.53866665,1.26740904,1.25343011,1.23651033,1.21805554,1.19858909,1.17845359,1.15789463,1.13709699,1.11620369,1.09532729,1.07455719,1.05396472
2020,9,21,1.29316000,1.29664000,1.27753000,1.28152000,1670,1.00632921,1.28763833,1.30199877,1.31981466,1.33981121,1.36157126,1.38483558,1.40942398,1.43520251,1.46206689,1.48993317,1.51873207,1.54840520,1.27543074,1.26136333,1.24433647,1.22576487,1.20617522,1.18591228,1.16522319,1.14429392,1.12326839,1.10225985,1.08135829,1.06063549
2020,9,20,1.29197000,1.29382000,1.29097000,1.29320000,65610,1.00911418,1.29937410,1.31386542,1.33184368,1.35202248,1.37398086,1.39745721,1.42226972,1.44828320,1.47539242,1.50351268,1.53257406,1.56251764,1.28705524,1.27285962,1.25567757,1.23693671,1.21716851,1.19672089,1.17584324,1.15472322,1.13350605,1.11230604,1.09121398,1.07030231
2020,9,18,1.29772000,1.29996000,1.29145000,1.29229000,97255,0.99929632,1.29845975,1.31294088,1.33090649,1.35107109,1.37301402,1.39647385,1.42126890,1.44726407,1.47435422,1.50245469,1.53149562,1.56141812,1.28614956,1.27196394,1.25479398,1.23606630,1.21631201,1.19587878,1.17501583,1.15391066,1.13270843,1.11152333,1.09044612,1.06954916
2020,9,17,1.29723000,1.29985000,1.28648000,1.29773000,79050,1.00420958,1.30392572,1.31846781,1.33650905,1.35675854,1.37879383,1.40235242,1.42725184,1.45335645,1.48056063,1.50877940,1.53794257,1.56799104,1.29156371,1.27731837,1.26007613,1.24126962,1.22143218,1.20091293,1.17996215,1.15876814,1.13747665,1.11620238,1.09503644,1.07405151
2020,9,16,1.28891000,1.30070000,1.28750000,1.29723000,61686,0.99961471,1.30342334,1.31795982,1.33599411,1.35623579,1.37826260,1.40181211,1.42670194,1.45279649,1.47999019,1.50819808,1.53735002,1.56738691,1.29106609,1.27682624,1.25959064,1.24079137,1.22096157,1.20045023,1.17950752,1.15832168,1.13703840,1.11577232,1.09461453,1.07363770
2020,9,15,1.28512000,1.29262000,1.28146000,1.28892000,58460,0.99359404,1.29507366,1.30951702,1.32743579,1.34754780,1.36943351,1.39283216,1.41756255,1.44348993,1.47050943,1.49853663,1.52750182,1.55734630,1.28279558,1.26864694,1.25152176,1.23284292,1.21314014,1.19276020,1.17195165,1.15090153,1.12975458,1.10862473,1.08760248,1.06676002
2020,9,14,1.28050000,1.29191000,1.27910000,1.28510000,1243,0.99703628,1.29123543,1.30563598,1.32350164,1.34355405,1.36537489,1.38870419,1.41336129,1.43921183,1.46615125,1.49409538,1.52297473,1.55273076,1.27899373,1.26488703,1.24781259,1.22918911,1.20954474,1.18922519,1.16847831,1.14749057,1.12640630,1.10533908,1.08437913,1.06359844
2020,9,13,1.27721000,1.28122000,1.27665000,1.28063000,70124,0.99652167,1.28674408,1.30109455,1.31889806,1.33888072,1.36062567,1.38387383,1.40844515,1.43420578,1.46105150,1.48889843,1.51767732,1.54732985,1.27454497,1.26048733,1.24347229,1.22491359,1.20533754,1.18508867,1.16441396,1.14349922,1.12248829,1.10149434,1.08060730,1.05989889
2020,9,11,1.28162000,1.28657000,1.27621000,1.27970000,92208,0.99927379,1.28580964,1.30014969,1.31794027,1.33790842,1.35963757,1.38286885,1.40742233,1.43316425,1.45999047,1.48781718,1.51657518,1.54620617,1.27361939,1.25957196,1.24256928,1.22402405,1.20446222,1.18422806,1.16356836,1.14266881,1.12167313,1.10069443,1.07982256,1.05912919
2020,9,10,1.30073000,1.30352000,1.27730000,1.28162000,73494,1.00150035,1.28773881,1.30210037,1.31991765,1.33991576,1.36167751,1.38494364,1.40953396,1.43531450,1.46218097,1.49004943,1.51885058,1.54852603,1.27553026,1.26146176,1.24443357,1.22586052,1.20626934,1.18600482,1.16531412,1.14438321,1.12335604,1.10234586,1.08144267,1.06071826
2020,9,9,1.29632000,1.30231000,1.28848000,1.30073000,79030,1.01491082,1.30694005,1.32151575,1.33959870,1.35989499,1.38198123,1.40559428,1.43055126,1.45671621,1.48398329,1.51226729,1.54149788,1.57161581,1.29454946,1.28027119,1.26298909,1.24413910,1.22425580,1.20368912,1.18268990,1.16144690,1.14010619,1.11878274,1.09756786,1.07653443
2020,9,8,1.31670000,1.31674000,1.29499000,1.29632000,45662,0.99660960,1.30250899,1.31703528,1.33505691,1.35528440,1.37729576,1.40082875,1.42570112,1.45177736,1.47895198,1.50714009,1.53627158,1.56628740,1.29016041,1.27593055,1.25870704,1.23992097,1.22010507,1.19960812,1.17868011,1.15750913,1.13624077,1.11498961,1.09384667,1.07288454
2020,9,7,1.32518000,1.32575000,1.31402000,1.31665000,2294,1.01568286,1.32293605,1.33769015,1.35599442,1.37653913,1.39889569,1.42279774,1.44806018,1.47454537,1.50214617,1.53077635,1.56036470,1.59085126,1.31039381,1.29594078,1.27844717,1.25936647,1.23923981,1.21842140,1.19716518,1.17566218,1.15406027,1.13247583,1.11100131,1.08971044
