Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,0.60839000,0.61066000,0.60726000,0.60751000,39839,1.00000000,0.61046928,0.61741474,0.62603111,0.63570201,0.64622571,0.65747686,0.66936834,0.68183535,0.69482748,0.70830413,0.72223178,0.73658222,0.60456507,0.59776415,0.58953684,0.58056825,0.57111377,0.56134051,0.55136818,0.54128669,0.53116552,0.52105923,0.51101102,0.50105527
2020,10,13,0.60422000,0.60872000,0.60318000,0.60835000,30911,1.00138269,0.61131337,0.61826844,0.62689672,0.63658099,0.64711924,0.65838595,0.67029387,0.68277812,0.69578821,0.70928349,0.72323041,0.73760069,0.60540099,0.59859068,0.59035199,0.58137100,0.57190344,0.56211668,0.55213055,0.54203512,0.53189996,0.52177969,0.51171759,0.50174807
2020,10,12,0.60670000,0.60746000,0.60340000,0.60422000,1448,0.99321114,0.60716325,0.61407110,0.62264081,0.63225933,0.64272604,0.65391627,0.66574334,0.67814284,0.69106461,0.70446827,0.71832050,0.73259322,0.60129102,0.59452693,0.58634417,0.57742415,0.56802087,0.55830055,0.54838222,0.53835532,0.52828897,0.51823741,0.50824362,0.49834178
2020,10,11,0.60554000,0.60714000,0.60505000,0.60671000,32863,1.00412102,0.60966538,0.61660170,0.62520672,0.63486488,0.64537473,0.65661106,0.66848688,0.68093748,0.69391249,0.70737139,0.72128071,0.73561225,0.60376894,0.59697699,0.58876050,0.57980373,0.57036170,0.56060131,0.55064211,0.54057390,0.53046606,0.52037307,0.51033810,0.50039545
2020,10,9,0.60370000,0.60718000,0.60319000,0.60673000,37550,1.00003296,0.60968548,0.61662202,0.62522733,0.63488581,0.64539600,0.65663271,0.66850892,0.68095992,0.69393537,0.70739471,0.72130449,0.73563650,0.60378885,0.59699667,0.58877991,0.57982284,0.57038050,0.56061979,0.55066026,0.54059172,0.53048354,0.52039022,0.51035492,0.50041195
2020,10,8,0.60291000,0.60545000,0.60032000,0.60375000,39613,0.99508842,0.60669096,0.61359344,0.62215648,0.63176752,0.64222609,0.65340761,0.66522548,0.67761534,0.69052705,0.70392029,0.71776175,0.73202337,0.60082329,0.59406447,0.58588808,0.57697500,0.56757903,0.55786627,0.54795565,0.53793656,0.52787803,0.51783429,0.50784827,0.49795413
2020,10,7,0.60416000,0.60553000,0.60230000,0.60292000,50354,0.99862526,0.60585692,0.61274991,0.62130117,0.63089900,0.64134320,0.65250934,0.66431097,0.67668379,0.68957776,0.70295258,0.71677501,0.73101702,0.59999732,0.59324779,0.58508263,0.57618181,0.56679876,0.55709934,0.54720235,0.53719703,0.52715234,0.51712240,0.50715011,0.49726958
2020,10,6,0.60841000,0.60904000,0.60373000,0.60419000,39230,1.00210642,0.60713311,0.61404061,0.62260989,0.63222794,0.64269413,0.65388380,0.66571029,0.67810917,0.69103029,0.70443329,0.71828484,0.73255685,0.60126116,0.59449741,0.58631506,0.57739548,0.56799267,0.55827283,0.54835499,0.53832859,0.52826274,0.51821167,0.50821838,0.49831703
2020,10,5,0.60907000,0.61095000,0.60697000,0.60838000,1595,1.00693490,0.61134352,0.61829893,0.62692763,0.63661238,0.64715115,0.65841842,0.67032692,0.68281179,0.69582252,0.70931847,0.72326607,0.73763706,0.60543085,0.59862020,0.59038110,0.58139967,0.57193165,0.56214440,0.55215778,0.54206185,0.53192619,0.52180542,0.51174283,0.50177281
2020,10,4,0.61012000,0.61090000,0.60877000,0.60907000,57489,1.00113416,0.61203688,0.61900018,0.62763867,0.63733440,0.64788513,0.65916517,0.67108718,0.68358621,0.69661170,0.71012295,0.72408637,0.73847366,0.60611750,0.59929913,0.59105068,0.58205907,0.57258031,0.56278196,0.55278401,0.54267664,0.53252948,0.52239723,0.51232322,0.50234190
2020,10,2,0.61101000,0.61162000,0.60862000,0.61088000,51272,1.00297174,0.61385569,0.62083969,0.62950385,0.63922839,0.64981048,0.66112404,0.67308148,0.68561765,0.69868185,0.71223325,0.72623817,0.74066821,0.60791873,0.60108009,0.59280714,0.58378880,0.57428187,0.56445440,0.55442675,0.54428933,0.53411202,0.52394966,0.51384572,0.50383474
