Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,0.66477000,0.66821000,0.66442000,0.66502000,49251,1.00000000,0.66821646,0.67571869,0.68502587,0.69547216,0.70683967,0.71899296,0.73183793,0.74530459,0.75933848,0.77389575,0.78894020,0.80444134,0.66183883,0.65449070,0.64559839,0.63590122,0.62567457,0.61509865,0.60430265,0.59338371,0.58241695,0.57146146,0.56056416,0.54976240
2020,10,13,0.66472000,0.66709000,0.66283000,0.66471000,37405,0.99953385,0.66790497,0.67540370,0.68470655,0.69514797,0.70651017,0.71865780,0.73149678,0.74495717,0.75898452,0.77353500,0.78857244,0.80406635,0.66153031,0.65418561,0.64529744,0.63560480,0.62538291,0.61481192,0.60402096,0.59310710,0.58214545,0.57119508,0.56030285,0.54950613
2020,10,12,0.66642000,0.66701000,0.66402000,0.66472000,1461,1.00001504,0.66791502,0.67541386,0.68471685,0.69515843,0.70652080,0.71866861,0.73150778,0.74496837,0.75899593,0.77354664,0.78858430,0.80407845,0.66154027,0.65419545,0.64530715,0.63561436,0.62539231,0.61482117,0.60403004,0.59311602,0.58215421,0.57120367,0.56031128,0.54951439
2020,10,11,0.66544000,0.66674000,0.66513000,0.66642000,42484,1.00255747,0.66962319,0.67714121,0.68646799,0.69693627,0.70832770,0.72050658,0.73337859,0.74687361,0.76093704,0.77552496,0.79060108,0.80613485,0.66323213,0.65586854,0.64695751,0.63723992,0.62699174,0.61639356,0.60557483,0.59463290,0.58364305,0.57266450,0.56174426,0.55091976
2020,10,9,0.65840000,0.66727000,0.65839000,0.66712000,45139,1.00105039,0.67032655,0.67785247,0.68718905,0.69766833,0.70907172,0.72126339,0.73414892,0.74765811,0.76173632,0.77633956,0.79143152,0.80698161,0.66392878,0.65655746,0.64763706,0.63790927,0.62765032,0.61704101,0.60621092,0.59525749,0.58425610,0.57326602,0.56233431,0.55149844
2020,10,8,0.65770000,0.65964000,0.65463000,0.65840000,47283,0.98692889,0.66156464,0.66899219,0.67820672,0.68854902,0.69980337,0.71183568,0.72455278,0.73788539,0.75177958,0.76619194,0.78108663,0.79643346,0.65525050,0.64797552,0.63917173,0.62957109,0.61944623,0.60897560,0.59828707,0.58747682,0.57661923,0.56577280,0.55498397,0.54428974
2020,10,7,0.65818000,0.66004000,0.65709000,0.65770000,59222,0.99893682,0.66086128,0.66828093,0.67748566,0.68781697,0.69905935,0.71107887,0.72378245,0.73710088,0.75098030,0.76537734,0.78025619,0.79558670,0.65455385,0.64728660,0.63849217,0.62890174,0.61878765,0.60832815,0.59765098,0.58685222,0.57600617,0.56517128,0.55439392,0.54371106
2020,10,6,0.66486000,0.66579000,0.65766000,0.65820000,45656,1.00076023,0.66136368,0.66878897,0.67800070,0.68833987,0.69959079,0.71161945,0.72433269,0.73766125,0.75155122,0.76595920,0.78084936,0.79619153,0.65505145,0.64777869,0.63897757,0.62937985,0.61925807,0.60879061,0.59810533,0.58729836,0.57644407,0.56560094,0.55481539,0.54412440
2020,10,5,0.66364000,0.66541000,0.66294000,0.66482000,1213,1.01005773,0.66801550,0.67551547,0.68481985,0.69526301,0.70662709,0.71877673,0.73161783,0.74508045,0.75911012,0.77366301,0.78870294,0.80419941,0.66163979,0.65429387,0.64540423,0.63570998,0.62548640,0.61491367,0.60412091,0.59320525,0.58224179,0.57128960,0.56039557,0.54959706
2020,10,4,0.66341000,0.66425000,0.66272000,0.66364000,70649,0.99822508,0.66682983,0.67431649,0.68360436,0.69402897,0.70537288,0.71750096,0.73031927,0.74375799,0.75776276,0.77228982,0.78730305,0.80277202,0.66046543,0.65313255,0.64425869,0.63458165,0.62437621,0.61382225,0.60304865,0.59215236,0.58120836,0.57027561,0.55940092,0.54862157
2020,10,2,0.66496000,0.66547000,0.66134000,0.66361000,54982,0.99995479,0.66679968,0.67428600,0.68357345,0.69399760,0.70534100,0.71746852,0.73028626,0.74372437,0.75772851,0.77225491,0.78726746,0.80273573,0.66043558,0.65310303,0.64422957,0.63455296,0.62434799,0.61379450,0.60302139,0.59212559,0.58118208,0.57024983,0.55937563,0.54859677
2020,10,1,0.66262000,0.66571000,0.66162000,0.66496000,62073,1.00203433,0.66815617,0.67565772,0.68496407,0.69540942,0.70677589,0.71892809,0.73177190,0.74523735,0.75926997,0.77382593,0.78886902,0.80436876,0.66177912,0.65443165,0.64554014,0.63584385,0.62561811,0.61504316,0.60424813,0.59333017,0.58236440,0.57140991,0.56051358,0.54971280
2020,9,30,0.65959000,0.66287000,0.65693000,0.66262000,47070,0.99648099,0.66580492,0.67328008,0.68255367,0.69296226,0.70428874,0.71639817,0.72919679,0.74261485,0.75659810,0.77110283,0.78609299,0.80153818,0.65945031,0.65212870,0.64326848,0.63360631,0.62341656,0.61287882,0.60212178,0.59124223,0.58031505,0.56939911,0.55854113,0.54777835
2020,9,29,0.65577000,0.66026000,0.65521000,0.65959000,51100,0.99542724,0.66276036,0.67020133,0.67943252,0.68979352,0.70106820,0.71312226,0.72586235,0.73921905,0.75313836,0.76757676,0.78249837,0.79787294,0.65643481,0.64914668,0.64032697,0.63070898,0.62056583,0.61007627,0.59936842,0.58853863,0.57766141,0.56679539,0.55598706,0.54527350
2020,9,28,0.65508000,0.65677000,0.65394000,0.65570000,1373,0.99410240,0.65885166,0.66624875,0.67542550,0.68572539,0.69693358,0.70891655,0.72158150,0.73485943,0.74869665,0.76304990,0.77788351,0.79316740,0.65256341,0.64531827,0.63655058,0.62698931,0.61690598,0.60647828,0.59583358,0.58506766,0.57425460,0.56345265,0.55270807,0.54205769
2020,9,27,0.65422000,0.65572000,0.65410000,0.65509000,62057,0.99906970,0.65823873,0.66562894,0.67479715,0.68508746,0.69628522,0.70825704,0.72091021,0.73417579,0.74800013,0.76234003,0.77715984,0.79242952,0.65195633,0.64471793,0.63595839,0.62640602,0.61633207,0.60591407,0.59527928,0.58452337,0.57372037,0.56292847,0.55219388,0.54155341
