Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL5,QPL6,QPL7,QPL8,QPL9,QPL10,QPL11,QPL12,QPL-1,QPL-2,QPL-3,QPL-4,QPL-5,QPL-6,QPL-7,QPL-8,QPL-9,QPL-10,QPL-11,QPL-12
2020,10,14,0.91521000,0.91626000,0.91131000,0.91357000,37471,1.00000000,0.91796809,0.92829028,0.94109555,0.95546794,0.97110770,0.98782853,1.00550094,1.02402868,1.04333678,1.06336494,1.08406336,1.10539007,0.90919299,0.89908315,0.88684953,0.87350931,0.85944138,0.84489374,0.83004412,0.81502615,0.79994318,0.78487649,0.76989056,0.75503677
2020,10,13,0.90901000,0.91548000,0.90893000,0.91521000,32160,1.00179516,0.91961598,0.92995670,0.94278496,0.95718316,0.97285099,0.98960184,1.00730597,1.02586697,1.04520973,1.06527385,1.08600942,1.10737442,0.91082513,0.90069714,0.88844156,0.87507740,0.86098421,0.84641046,0.83153418,0.81648924,0.80137920,0.78628547,0.77127263,0.75639217
2020,10,12,0.91039000,0.91236000,0.90826000,0.90901000,1665,0.99322560,0.91338613,0.92365680,0.93639816,0.95069881,0.96626051,0.98289788,1.00048208,1.01891733,1.03812906,1.05805726,1.07865236,1.09987262,0.90465483,0.89459546,0.88242290,0.86914927,0.85515156,0.84067653,0.82590103,0.81095802,0.79595034,0.78095885,0.76604772,0.75126807
2020,10,11,0.91025000,0.91077000,0.90936000,0.91039000,32667,1.00151814,0.91477278,0.92505904,0.93781973,0.95214210,0.96772742,0.98439005,1.00200095,1.02046419,1.03970508,1.05966353,1.08028990,1.10154238,0.90602822,0.89595357,0.88376254,0.87046876,0.85644979,0.84195280,0.82715486,0.81218916,0.79715870,0.78214445,0.76721069,0.75240860
2020,10,9,0.91697000,0.91721000,0.90943000,0.90955000,33187,0.99907732,0.91392873,0.92420550,0.93695443,0.95126358,0.96683452,0.98348177,1.00107642,1.01952262,1.03874577,1.05868580,1.07929313,1.10052600,0.90519225,0.89512689,0.88294711,0.86966559,0.85565956,0.84117594,0.82639166,0.81143977,0.79642318,0.78142278,0.76650280,0.75171436
2020,10,8,0.91673000,0.91979000,0.91569000,0.91703000,39102,1.00822385,0.92144474,0.93180603,0.94465980,0.95908663,0.97478562,0.99156977,1.00930912,1.02790702,1.04728825,1.06739227,1.08816907,1.10957656,0.91263641,0.90248828,0.89020833,0.87681759,0.86269638,0.84809364,0.83318778,0.81811293,0.80297284,0.78784908,0.77280640,0.75789635
2020,10,7,0.91797000,0.91844000,0.91595000,0.91673000,44344,0.99967286,0.92114330,0.93150119,0.94435076,0.95877287,0.97446673,0.99124539,1.00897893,1.02757075,1.04694564,1.06704308,1.08781309,1.10921357,0.91233785,0.90219304,0.88991711,0.87653074,0.86241415,0.84781620,0.83291521,0.81784529,0.80271015,0.78759135,0.77255358,0.75764841
2020,10,6,0.91515000,0.91821000,0.91332000,0.91795000,40746,1.00133082,0.92236917,0.93274085,0.94560751,0.96004882,0.97576356,0.99256455,1.01032170,1.02893826,1.04833893,1.06846312,1.08926077,1.11068973,0.91355200,0.90339369,0.89110142,0.87769724,0.86356187,0.84894448,0.83402366,0.81893369,0.80377841,0.78863949,0.77358171,0.75865670
2020,10,5,0.91778000,0.91866000,0.91451000,0.91516000,2261,0.99696062,0.91956574,0.92990590,0.94273345,0.95713086,0.97279784,0.98954777,1.00725094,1.02581092,1.04515263,1.06521565,1.08595009,1.10731392,0.91077537,0.90064793,0.88839303,0.87502959,0.86093717,0.84636422,0.83148875,0.81644464,0.80133542,0.78624251,0.77123050,0.75635085
2020,10,4,0.91953000,0.91990000,0.91766000,0.91778000,59925,1.00286289,0.92219835,0.93256811,0.94543239,0.95987102,0.97558286,0.99238074,1.01013459,1.02874770,1.04814479,1.06826524,1.08905904,1.11048404,0.91338282,0.90322639,0.89093640,0.87753470,0.86340194,0.84878726,0.83386921,0.81878203,0.80362956,0.78849343,0.77343844,0.75851620
2020,10,2,0.91893000,0.92186000,0.91811000,0.92054000,55555,1.00300726,0.92497164,0.93537258,0.94827555,0.96275760,0.97851668,0.99536508,1.01317232,1.03184141,1.05129683,1.07147779,1.09233412,1.11382355,0.91612959,0.90594262,0.89361567,0.88017367,0.86599841,0.85133978,0.83637687,0.82124431,0.80604628,0.79086464,0.77576437,0.76079725
2020,10,1,0.92063000,0.92144000,0.91643000,0.91893000,58002,0.99825103,0.92335389,0.93373664,0.94661704,0.96107376,0.97680528,0.99362421,1.01140031,1.03003675,1.04945814,1.06960380,1.09042366,1.11187550,0.91452731,0.90435815,0.89205276,0.87863427,0.86448380,0.84985081,0.83491406,0.81980798,0.80463652,0.78948143,0.77440758,0.75946664
2020,9,30,0.91910000,0.92446000,0.91623000,0.92063000,42131,1.00184998,0.92506207,0.93546403,0.94836826,0.96285173,0.97861235,0.99546239,1.01327138,1.03194229,1.05139961,1.07158255,1.09244092,1.11393244,0.91621916,0.90603119,0.89370304,0.88025972,0.86608308,0.85142302,0.83645864,0.82132461,0.80612508,0.79094196,0.77584022,0.76087163
